08/01/2017 0.0410 37518432
08/02/2017 0.0370 36518432
08/03/2017 0.0320 32651848
08/04/2017 0.0290 30518488
08/05/2017 0.0300 29518518
08/06/2017 0.0350 45551848
08/07/2017 0.0390 46518488
08/08/2017 0.0420 66518488
08/09/2017 0.0740 85648488
08/10/2017 0.0780 88484885
08/11/2017 0.0730 91848488
08/12/2017 0.0710 89048488
08/13/2017 0.0690 87848488
08/14/2017 0.0670 84848488
08/15/2017 0.0620 96848488
08/16/2017 0.0520 86688488
08/17/2017 0.0490 56778488
08/18/2017 0.0450 46848488
08/19/2017 0.0350 65848488
08/20/2017 0.0450 36848488
08/21/2017 0.0490 57748488
08/22/2017 0.0290 30518488
08/23/2017 0.0350 45518488
08/24/2017 0.0370 36518432
08/25/2017 0.0380 26848488
08/26/2017 0.0450 36848488
08/27/2017 0.0430 46848488
08/28/2017 0.0460 48948488
08/29/2017 0.0490 57748488
08/30/2017 0.0450 48518488
08/31/2017 0.0450 48518488
09/01/2017 0.0430 35518488
09/02/2017 0.0370 36518432
09/03/2017 0.0320 32651848
09/04/2017 0.0290 30518488
09/05/2017 0.0300 29518518
09/06/2017 0.0350 45551848
09/07/2017 0.0390 46518488
09/08/2017 0.0420 66518488
09/09/2017 0.0740 85648488
09/10/2017 0.0780 88484885
09/11/2017 0.0730 91848488
09/12/2017 0.0710 89048488
09/13/2017 0.0690 87848488
09/14/2017 0.0670 84848488
09/15/2017 0.0620 96848488
09/16/2017 0.0520 86688488
09/17/2017 0.0490 56778488
09/18/2017 0.0450 46848488
09/19/2017 0.0350 65848488
09/20/2017 0.0450 36848488
09/21/2017 0.0490 57748488
09/22/2017 0.0290 30518488
09/23/2017 0.0350 45518488
09/24/2017 0.0370 36518432
09/25/2017 0.0380 26848488
09/26/2017 0.0450 36848488
09/27/2017 0.0430 46848488
09/28/2017 0.0460 48948488
09/29/2017 0.0490 57748488
09/30/2017 0.0450 48518488
10/01/2017 0.0430 35518488
10/02/2017 0.0370 36518432
10/03/2017 0.0320 32651848
10/04/2017 0.0290 30518488
10/05/2017 0.0300 29518518
10/06/2017 0.0350 45551848
10/07/2017 0.0390 46518488
10/08/2017 0.0420 66518488
10/09/2017 0.0740 85648488
10/10/2017 0.0780 88484885
10/11/2017 0.0730 91848488
10/12/2017 0.0710 89048488
10/13/2017 0.0690 87848488
10/14/2017 0.0670 84848488
10/15/2017 0.0620 96848488
10/16/2017 0.0520 86688488
10/17/2017 0.0490 56778488
10/18/2017 0.0450 46848488
10/19/2017 0.0350 65848488
10/20/2017 0.0450 36848488
10/21/2017 0.0490 57748488
10/22/2017 0.0290 30518488
10/23/2017 0.0350 45518488
10/24/2017 0.0370 36518432
10/25/2017 0.0380 26848488
10/26/2017 0.0450 36848488
10/27/2017 0.0430 46848488
10/28/2017 0.0460 48948488
10/29/2017 0.0490 57748488
10/30/2017 0.0450 48518488
10/31/2017 0.0440 43018488
11/01/2017 0.0410 37518432
11/02/2017 0.0370 36518432
11/03/2017 0.0320 32651848
11/04/2017 0.0290 30518488
11/05/2017 0.0300 29518518
11/06/2017 0.0350 45551848
11/07/2017 0.0390 46518488
